No dump file specified
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         15557         823232  [B (java.base@14.0.2)
   2:         14996         359904  java.lang.String (java.base@14.0.2)
   3:          1996         241824  java.lang.Class (java.base@14.0.2)
   4:          5862         187584  java.util.HashMap$Node (java.base@14.0.2)
   5:          4979         159328  java.util.concurrent.ConcurrentHashMap$Node (java.base@14.0.2)
   6:          1976         140008  [Ljava.lang.Object; (java.base@14.0.2)
   7:           308          84760  [C (java.base@14.0.2)
   8:           545          72960  [Ljava.util.HashMap$Node; (java.base@14.0.2)
   9:          1489          71472  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@14.0.2)
  10:           831          44840  [I (java.base@14.0.2)
  11:            89          41904  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@14.0.2)
  12:           951          38040  java.lang.ref.SoftReference (java.base@14.0.2)
  13:           571          27408  java.util.HashMap (java.base@14.0.2)
  14:           762          24384  sun.util.locale.BaseLocale (java.base@14.0.2)
  15:           743          23776  sun.util.locale.BaseLocale$Key (java.base@14.0.2)
  16:           397          19056  java.lang.invoke.MemberName (java.base@14.0.2)
  17:           325          16928  [Ljava.lang.String; (java.base@14.0.2)
  18:           408          16320  java.math.BigInteger (java.base@14.0.2)
  19:           417          13344  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@14.0.2)
  20:           192          13056  [Ljava.lang.ref.SoftReference; (java.base@14.0.2)
  21:           325          13000  java.lang.invoke.MethodType (java.base@14.0.2)
  22:           781          12496  java.lang.Object (java.base@14.0.2)
  23:           210          11760  java.security.Provider$Service (java.base@14.0.2)
  24:           485          11640  java.security.Provider$ServiceKey (java.base@14.0.2)
  25:           367          10904  [Ljava.lang.Class; (java.base@14.0.2)
  26:           401           9624  java.lang.module.ModuleDescriptor$Exports (java.base@14.0.2)
  27:           338           8112  java.lang.invoke.ResolvedMethodName (java.base@14.0.2)
  28:           239           7648  java.lang.invoke.LambdaForm$Name (java.base@14.0.2)
  29:           108           6912  java.util.concurrent.ConcurrentHashMap (java.base@14.0.2)
  30:           409           6544  java.lang.Integer (java.base@14.0.2)
  31:           271           6504  java.util.ImmutableCollections$Set12 (java.base@14.0.2)
  32:           256           6144  java.lang.Long (java.base@14.0.2)
  33:           189           6048  java.lang.module.ModuleDescriptor$Requires (java.base@14.0.2)
  34:            73           5840  java.net.URI (java.base@14.0.2)
  35:            73           4672  java.lang.module.ModuleDescriptor (java.base@14.0.2)
  36:           272           4352  java.util.HashSet (java.base@14.0.2)
  37:           174           4176  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@14.0.2)
  38:           171           4104  java.security.Provider$UString (java.base@14.0.2)
  39:            73           4088  jdk.internal.module.ModuleReferenceImpl (java.base@14.0.2)
  40:           170           4080  java.util.ImmutableCollections$SetN (java.base@14.0.2)
  41:           124           3968  java.lang.invoke.DirectMethodHandle (java.base@14.0.2)
  42:           123           3936  java.lang.invoke.LambdaForm$NamedFunction (java.base@14.0.2)
  43:           159           3816  java.util.ArrayList (java.base@14.0.2)
  44:            68           3808  java.lang.Module (java.base@14.0.2)
  45:            74           3552  java.lang.invoke.LambdaForm (java.base@14.0.2)
  46:           109           3488  java.lang.invoke.MethodTypeForm (java.base@14.0.2)
  47:            79           3424  [Ljava.lang.invoke.LambdaForm$Name; (java.base@14.0.2)
  48:            35           3312  [Ljava.lang.invoke.MethodHandle; (java.base@14.0.2)
  49:             9           3312  java.lang.Thread (java.base@14.0.2)
  50:           104           2744  [[C (java.base@14.0.2)
  51:            65           2600  org.postgresql.PGProperty
  52:           149           2384  java.util.Collections$UnmodifiableSet (java.base@14.0.2)
  53:            27           2376  java.lang.reflect.Method (java.base@14.0.2)
  54:            55           2200  java.util.LinkedHashMap$Entry (java.base@14.0.2)
  55:            89           2136  java.util.concurrent.CopyOnWriteArrayList (java.base@14.0.2)
  56:            53           2120  sun.security.util.NamedCurve (java.base@14.0.2)
  57:            66           2112  java.lang.invoke.LambdaForm$Kind (java.base@14.0.2)
  58:           128           2048  java.lang.Character (java.base@14.0.2)
  59:             8           2032  [J (java.base@14.0.2)
  60:            36           2016  sun.util.calendar.ZoneInfo (java.base@14.0.2)
  61:            82           1968  java.util.ImmutableCollections$List12 (java.base@14.0.2)
  62:            61           1952  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@14.0.2)
  63:           116           1856  java.util.HashMap$EntrySet (java.base@14.0.2)
  64:            46           1840  java.io.ObjectStreamField (java.base@14.0.2)
  65:            73           1752  java.lang.module.ModuleDescriptor$Provides (java.base@14.0.2)
  66:            73           1752  jdk.internal.module.SystemModuleFinders$2 (java.base@14.0.2)
  67:            53           1696  java.security.spec.EllipticCurve (java.base@14.0.2)
  68:             2           1584  [[B (java.base@14.0.2)
  69:            49           1568  java.lang.invoke.BoundMethodHandle$Species_L (java.base@14.0.2)
  70:            62           1488  java.lang.module.ResolvedModule (java.base@14.0.2)
  71:            31           1488  java.util.logging.LogManager$LoggerWeakRef (java.logging@14.0.2)
  72:            62           1488  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@14.0.2)
  73:            30           1440  java.time.temporal.ValueRange (java.base@14.0.2)
  74:            25           1400  sun.security.ec.SunEC$ProviderService (jdk.crypto.ec@14.0.2)
  75:            54           1296  java.security.spec.ECPoint (java.base@14.0.2)
  76:            16           1280  java.lang.reflect.Constructor (java.base@14.0.2)
  77:            30           1200  java.lang.invoke.DirectMethodHandle$Accessor (java.base@14.0.2)
  78:            30           1200  java.time.temporal.ChronoField (java.base@14.0.2)
  79:            38           1184  [Ljava.math.BigInteger; (java.base@14.0.2)
  80:            68           1088  jdk.internal.module.SystemModuleFinders$3 (java.base@14.0.2)
  81:            67           1072  java.util.HashMap$KeySet (java.base@14.0.2)
  82:             1           1040  [Ljava.lang.Integer; (java.base@14.0.2)
  83:             1           1040  [Ljava.lang.Long; (java.base@14.0.2)
  84:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@14.0.2)
  85:            30            960  java.security.Provider$EngineDescription (java.base@14.0.2)
  86:            23            920  java.lang.Package$VersionInfo (java.base@14.0.2)
  87:             3            880  [[Ljava.lang.String; (java.base@14.0.2)
  88:            27            864  java.util.Locale (java.base@14.0.2)
  89:            25            800  java.lang.ref.ReferenceQueue (java.base@14.0.2)
  90:            25            800  java.lang.ref.WeakReference (java.base@14.0.2)
  91:            25            800  java.util.logging.LogManager$LogNode (java.logging@14.0.2)
  92:            14            784  java.util.logging.Logger (java.logging@14.0.2)
  93:            24            768  java.lang.Package (java.base@14.0.2)
  94:            11            704  org.postgresql.core.v3.SimpleQuery
  95:            28            672  java.time.LocalTime (java.base@14.0.2)
  96:             9            648  java.nio.DirectByteBuffer (java.base@14.0.2)
  97:             5            640  [D (java.base@14.0.2)
  98:            10            640  java.net.URL (java.base@14.0.2)
  99:             3            624  [Ljava.lang.invoke.LambdaForm; (java.base@14.0.2)
 100:            26            624  java.security.spec.ECFieldF2m (java.base@14.0.2)
 101:            26            624  java.util.jar.Attributes$Name (java.base@14.0.2)
 102:            15            600  java.util.logging.Logger$ConfigurationData (java.logging@14.0.2)
 103:            37            592  java.util.ImmutableCollections$ListN (java.base@14.0.2)
 104:             4            576  [Ljava.lang.invoke.MemberName; (java.base@14.0.2)
 105:            14            560  java.security.AccessControlContext (java.base@14.0.2)
 106:             7            560  java.util.concurrent.TimeUnit (java.base@14.0.2)
 107:            10            560  sun.invoke.util.Wrapper (java.base@14.0.2)
 108:             1            528  [Ljava.lang.Character; (java.base@14.0.2)
 109:            16            512  java.time.temporal.ChronoUnit (java.base@14.0.2)
 110:             7            496  [Lsun.invoke.util.Wrapper; (java.base@14.0.2)
 111:            16            480  [Ljava.io.ObjectStreamField; (java.base@14.0.2)
 112:            12            480  java.security.ProtectionDomain (java.base@14.0.2)
 113:            19            456  java.lang.invoke.Invokers (java.base@14.0.2)
 114:            11            440  java.lang.OutOfMemoryError (java.base@14.0.2)
 115:            11            440  java.util.TreeMap$Entry (java.base@14.0.2)
 116:             5            440  java.util.regex.Pattern (java.base@14.0.2)
 117:             1            432  [[[C (java.base@14.0.2)
 118:             9            432  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@14.0.2)
 119:            27            432  java.lang.ref.ReferenceQueue$Lock (java.base@14.0.2)
 120:            27            432  java.security.spec.ECFieldFp (java.base@14.0.2)
 121:            18            432  java.time.Duration (java.base@14.0.2)
 122:             9            432  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@14.0.2)
 123:            13            416  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@14.0.2)
 124:            13            416  sun.security.jca.ProviderConfig (java.base@14.0.2)
 125:            17            408  sun.nio.ch.OptionKey (java.base@14.0.2)
 126:            17            408  sun.nio.ch.SocketOptionRegistry$RegistryKey (java.base@14.0.2)
 127:             5            400  [Ljava.util.WeakHashMap$Entry; (java.base@14.0.2)
 128:            10            400  java.security.CodeSource (java.base@14.0.2)
 129:             7            392  java.util.Properties (java.base@14.0.2)
 130:            16            384  java.lang.RuntimePermission (java.base@14.0.2)
 131:             1            376  com.intellij.rt.execution.application.AppMainV2$1
 132:             1            376  java.lang.ref.Finalizer$FinalizerThread (java.base@14.0.2)
 133:             1            376  java.util.logging.LogManager$Cleaner (java.logging@14.0.2)
 134:             1            376  jdk.internal.misc.InnocuousThread (java.base@14.0.2)
 135:             1            368  java.lang.ref.Reference$ReferenceHandler (java.base@14.0.2)
 136:             9            360  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@14.0.2)
 137:             9            360  java.lang.ClassLoader$NativeLibrary (java.base@14.0.2)
 138:             9            360  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@14.0.2)
 139:             9            360  java.lang.invoke.DirectMethodHandle$Special (java.base@14.0.2)
 140:            11            352  org.postgresql.core.NativeQuery
 141:             5            336  [S (java.base@14.0.2)
 142:             6            336  java.nio.DirectLongBufferU (java.base@14.0.2)
 143:             6            336  java.nio.HeapByteBuffer (java.base@14.0.2)
 144:            14            336  org.postgresql.core.ServerVersion
 145:             7            336  sun.util.resources.Bundles$BundleReference (java.base@14.0.2)
 146:             3            328  [Z (java.base@14.0.2)
 147:            12            288  java.net.StandardSocketOptions$StdSocketOption (java.base@14.0.2)
 148:             9            288  java.util.logging.Level (java.logging@14.0.2)
 149:             9            288  java.util.logging.Level$KnownLevel (java.logging@14.0.2)
 150:             9            288  jdk.internal.org.objectweb.asm.Type (java.base@14.0.2)
 151:             1            280  [Ljava.lang.invoke.LambdaForm$Kind; (java.base@14.0.2)
 152:             1            280  [Lorg.postgresql.PGProperty;
 153:             7            280  java.io.FileDescriptor (java.base@14.0.2)
 154:             7            280  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@14.0.2)
 155:             7            280  java.util.WeakHashMap$Entry (java.base@14.0.2)
 156:             7            280  sun.nio.fs.WindowsPath (java.base@14.0.2)
 157:             6            272  [Ljava.lang.invoke.MethodType; (java.base@14.0.2)
 158:            11            264  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@14.0.2)
 159:             5            256  [Ljava.util.Hashtable$Entry; (java.base@14.0.2)
 160:             8            256  java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo (java.base@14.0.2)
 161:             8            256  java.security.Permissions (java.base@14.0.2)
 162:             8            256  java.util.Hashtable$Entry (java.base@14.0.2)
 163:             3            240  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@14.0.2)
 164:            10            240  java.nio.charset.CoderResult (java.base@14.0.2)
 165:            10            240  java.nio.file.StandardOpenOption (java.base@14.0.2)
 166:             5            240  java.util.Hashtable (java.base@14.0.2)
 167:             5            240  java.util.WeakHashMap (java.base@14.0.2)
 168:             5            240  sun.util.locale.provider.LocaleResources$ResourceReference (java.base@14.0.2)
 169:             5            224  [Ljava.lang.invoke.LambdaForm$NamedFunction; (java.base@14.0.2)
 170:             7            224  org.postgresql.core.Parser$SqlParseState
 171:             7            224  org.postgresql.core.SqlCommand
 172:             2            224  sun.security.provider.HashDrbg (java.base@14.0.2)
 173:             7            224  sun.security.util.LazyCodeSourcePermissionCollection (java.base@14.0.2)
 174:             7            224  sun.util.resources.Bundles$CacheKey (java.base@14.0.2)
 175:             3            216  java.nio.DirectByteBufferR (java.base@14.0.2)
 176:             9            216  java.util.ArrayDeque (java.base@14.0.2)
 177:             1            216  org.postgresql.core.v3.QueryExecutorImpl
 178:             9            216  org.postgresql.shaded.com.ongres.scram.common.ScramAttributes
 179:            13            208  java.util.Collections$SingletonSet (java.base@14.0.2)
 180:             5            200  java.lang.invoke.DirectMethodHandle$Constructor (java.base@14.0.2)
 181:             5            200  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@14.0.2)
 182:             5            200  java.util.EnumMap (java.base@14.0.2)
 183:             5            200  java.util.IdentityHashMap (java.base@14.0.2)
 184:             5            200  java.util.stream.StreamOpFlag (java.base@14.0.2)
 185:            12            192  [Ljava.security.Principal; (java.base@14.0.2)
 186:             6            192  java.lang.invoke.LambdaForm$BasicType (java.base@14.0.2)
 187:             8            192  java.math.RoundingMode (java.base@14.0.2)
 188:             8            192  java.net.NetPermission (java.base@14.0.2)
 189:            12            192  java.security.ProtectionDomain$Key (java.base@14.0.2)
 190:             2            192  java.util.jar.JarFile$JarFileEntry (java.base@14.0.2)
 191:             8            192  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@14.0.2)
 192:             4            192  org.postgresql.shaded.com.ongres.scram.common.ScramMechanisms
 193:             4            192  sun.nio.cs.UTF_8$Encoder (java.base@14.0.2)
 194:             1            168  [[Ljava.math.BigInteger; (java.base@14.0.2)
 195:             3            168  java.nio.HeapCharBuffer (java.base@14.0.2)
 196:             7            168  org.postgresql.core.SqlCommandType
 197:             2            160  [Ljava.nio.ByteBuffer; (java.base@14.0.2)
 198:             5            160  java.lang.invoke.VarHandle$AccessType (java.base@14.0.2)
 199:             5            160  java.util.RegularEnumSet (java.base@14.0.2)
 200:             5            160  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@14.0.2)
 201:             2            160  sun.nio.ch.NioSocketImpl (java.base@14.0.2)
 202:             5            160  sun.util.locale.provider.LocaleProviderAdapter$Type (java.base@14.0.2)
 203:             1            144  [Ljava.lang.invoke.VarHandle$AccessMode; (java.base@14.0.2)
 204:             6            144  java.lang.NamedPackage (java.base@14.0.2)
 205:             3            144  java.lang.ThreadGroup (java.base@14.0.2)
 206:             6            144  java.lang.invoke.StringConcatFactory$Strategy (java.base@14.0.2)
 207:             1            144  java.util.Scanner (java.base@14.0.2)
 208:             6            144  java.util.concurrent.atomic.AtomicLong (java.base@14.0.2)
 209:             6            144  jdk.internal.perf.PerfCounter (java.base@14.0.2)
 210:             6            144  org.postgresql.jdbc.SslMode
 211:             3            144  sun.nio.cs.StreamEncoder (java.base@14.0.2)
 212:             1            136  [Ljava.time.temporal.ChronoField; (java.base@14.0.2)
